Region Model Years wetdays_avg wetdays_pc
southcentral SRCNNvEXPL26R1 20 13.333255 0.950158
southeast SRCNNvEXPL26R1 20 29.104519 0.826269
southwest SRCNNvEXPL26R1 20 8.165752 0.967040
CONUS SRCNNvEXPL26R1 15 27.178549 0.967553
midwest SRCNNvEXPL26R1 15 39.206345 0.910452
northcentral SRCNNvEXPL26R1 15 20.226488 0.908109
northeast SRCNNvEXPL26R1 15 40.333103 0.782378
northwest SRCNNvEXPL26R1 15 23.153244 0.945377
southcentral SRCNNvEXPL26R1 15 23.119360 0.923719
southeast SRCNNvEXPL26R1 15 42.524483 0.822378
southwest SRCNNvEXPL26R1 15 10.258615 0.951515
CONUS SRCNNvEXPL26R1 10 5.911227 0.952320
midwest SRCNNvEXPL26R1 10 15.581899 0.914227
northcentral SRCNNvEXPL26R1 10 -6.952321 0.878516
northeast SRCNNvEXPL26R1 10 18.975214 0.815883
northwest SRCNNvEXPL26R1 10 -0.534183 0.935285
southcentral SRCNNvEXPL26R1 10 4.839473 0.910899
southeast SRCNNvEXPL26R1 10 25.700907 0.822817
southwest SRCNNvEXPL26R1 10 -4.325702 0.925883
CONUS SRCNNvEXPL26R1 5 11.098398 0.971236
midwest SRCNNvEXPL26R1 5 20.579365 0.911006
northcentral SRCNNvEXPL26R1 5 2.196611 0.950431
northeast SRCNNvEXPL26R1 5 22.084984 0.815125
northwest SRCNNvEXPL26R1 5 6.082287 0.949391
southcentral SRCNNvEXPL26R1 5 8.196823 0.943180
southeast SRCNNvEXPL26R1 5 25.442808 0.832614
southwest SRCNNvEXPL26R1 5 1.732368 0.963826
CONUS SRCNNvEXPL26R1 2 19.059725 0.963692
midwest SRCNNvEXPL26R1 2 29.340843 0.929213
northcentral SRCNNvEXPL26R1 2 10.491364 0.925337
northeast SRCNNvEXPL26R1 2 31.513720 0.843706
northwest SRCNNvEXPL26R1 2 14.943640 0.934985
southcentral SRCNNvEXPL26R1 2 15.149426 0.939739
southeast SRCNNvEXPL26R1 2 33.795700 0.869087
southwest SRCNNvEXPL26R1 2 7.475987 0.905957
CONUS SRCNNvQT29avgL4R1 30 33.387478 0.976250
midwest SRCNNvQT29avgL4R1 30 37.452351 0.936310
northcentral SRCNNvQT29avgL4R1 30 30.130974 0.952052
northeast SRCNNvQT29avgL4R1 30 42.514271 0.842830
northwest SRCNNvQT29avgL4R1 30 32.438457 0.944568
southcentral SRCNNvQT29avgL4R1 30 30.395760 0.951784
southeast SRCNNvQT29avgL4R1 30 48.490105 0.810908
southwest SRCNNvQT29avgL4R1 30 19.276331 0.968025
CONUS SRCNNvQT29avgL4R1 20 33.081337 0.981721
midwest SRCNNvQT29avgL4R1 20 35.564213 0.946114
northcentral SRCNNvQT29avgL4R1 20 33.270058 0.934022
northeast SRCNNvQT29avgL4R1 20 39.946079 0.915136
northwest SRCNNvQT29avgL4R1 20 33.874031 0.943836
southcentral SRCNNvQT29avgL4R1 20 29.362207 0.959396
southeast SRCNNvQT29avgL4R1 20 43.270466 0.897200
southwest SRCNNvQT29avgL4R1 20 20.515530 0.962723
CONUS SRCNNvQT29avgL4R1 15 30.450315 0.967797
midwest SRCNNvQT29avgL4R1 15 39.882847 0.927716
northcentral SRCNNvQT29avgL4R1 15 22.131849 0.957967
northeast SRCNNvQT29avgL4R1 15 44.892731 0.838363
northwest SRCNNvQT29avgL4R1 15 25.126959 0.964190
southcentral SRCNNvQT29avgL4R1 15 27.783360 0.934025
southeast SRCNNvQT29avgL4R1 15 50.815605 0.794849
southwest SRCNNvQT29avgL4R1 15 12.884305 0.981023
CONUS SRCNNvQT29avgL4R1 10 30.788837 0.974975
midwest SRCNNvQT29avgL4R1 10 40.532413 0.935790
northcentral SRCNNvQT29avgL4R1 10 23.935574 0.956491
northeast SRCNNvQT29avgL4R1 10 44.386700 0.836432
northwest SRCNNvQT29avgL4R1 10 25.029402 0.964362
southcentral SRCNNvQT29avgL4R1 10 28.337173 0.925633
southeast SRCNNvQT29avgL4R1 10 49.196701 0.798417
southwest SRCNNvQT29avgL4R1 10 12.820927 0.978490
CONUS SRCNNvQT29avgL4R1 5 34.167889 0.979656
midwest SRCNNvQT29avgL4R1 5 40.871151 0.928503
northcentral SRCNNvQT29avgL4R1 5 30.254007 0.952078
northeast SRCNNvQT29avgL4R1 5 45.909100 0.869233
northwest SRCNNvQT29avgL4R1 5 32.033825 0.958988
southcentral SRCNNvQT29avgL4R1 5 30.558710 0.947304
southeast SRCNNvQT29avgL4R1 5 48.062820 0.865489
southwest SRCNNvQT29avgL4R1 5 18.805855 0.972371
CONUS SRCNNvQT29avgL4R1 2 17.476582 0.976509
midwest SRCNNvQT29avgL4R1 2 24.607719 0.945119
northcentral SRCNNvQT29avgL4R1 2 8.752468 0.947900
northeast SRCNNvQT29avgL4R1 2 30.455563 0.859821
northwest SRCNNvQT29avgL4R1 2 13.873020 0.952772
southcentral SRCNNvQT29avgL4R1 2 15.300445 0.933384
southeast SRCNNvQT29avgL4R1 2 33.824657 0.875743
southwest SRCNNvQT29avgL4R1 2 5.746527 0.966957
CONUS SRCNNvQT7L4R1 30 14.311028 0.990587
midwest SRCNNvQT7L4R1 30 19.974619 0.970785
northcentral SRCNNvQT7L4R1 30 10.588017 0.973755
northeast SRCNNvQT7L4R1 30 22.568232 0.956579
northwest SRCNNvQT7L4R1 30 15.808024 0.976032
southcentral SRCNNvQT7L4R1 30 10.349092 0.962307
southeast SRCNNvQT7L4R1 30 21.189713 0.921056
southwest SRCNNvQT7L4R1 30 5.981562 0.983095
CONUS SRCNNvQT7L4R1 20 16.811417 0.985868
midwest SRCNNvQT7L4R1 20 24.993998 0.964268
northcentral SRCNNvQT7L4R1 20 12.585594 0.954664
northeast SRCNNvQT7L4R1 20 26.886702 0.944382
