Region Model Years pr_avg pr_pc
CONUS SRCNNvEXPL26R1 30 0.047574 0.987203
midwest SRCNNvEXPL26R1 30 0.091064 0.956430
northcentral SRCNNvEXPL26R1 30 0.013518 0.954450
northeast SRCNNvEXPL26R1 30 0.153442 0.788674
northwest SRCNNvEXPL26R1 30 0.128130 0.981161
southcentral SRCNNvEXPL26R1 30 -0.048505 0.989928
southeast SRCNNvEXPL26R1 30 0.051805 0.838640
southwest SRCNNvEXPL26R1 30 0.027484 0.985568
CONUS SRCNNvEXPL26R1 20 -0.093076 0.986591
midwest SRCNNvEXPL26R1 20 -0.055040 0.958935
northcentral SRCNNvEXPL26R1 20 -0.135177 0.964394
northeast SRCNNvEXPL26R1 20 -0.049894 0.788269
northwest SRCNNvEXPL26R1 20 -0.017811 0.980446
southcentral SRCNNvEXPL26R1 20 -0.163694 0.991168
southeast SRCNNvEXPL26R1 20 -0.147202 0.847045
southwest SRCNNvEXPL26R1 20 -0.027969 0.982581
CONUS SRCNNvEXPL26R1 15 -0.091881 0.984065
midwest SRCNNvEXPL26R1 15 -0.032821 0.948444
northcentral SRCNNvEXPL26R1 15 -0.138368 0.955353
northeast SRCNNvEXPL26R1 15 -0.021679 0.748308
northwest SRCNNvEXPL26R1 15 -0.034965 0.975812
southcentral SRCNNvEXPL26R1 15 -0.156346 0.989127
southeast SRCNNvEXPL26R1 15 -0.139204 0.824120
southwest SRCNNvEXPL26R1 15 -0.061995 0.982706
CONUS SRCNNvEXPL26R1 10 -0.189569 0.984430
midwest SRCNNvEXPL26R1 10 -0.123130 0.955220
northcentral SRCNNvEXPL26R1 10 -0.320727 0.935810
northeast SRCNNvEXPL26R1 10 -0.095639 0.743251
northwest SRCNNvEXPL26R1 10 -0.222449 0.970223
southcentral SRCNNvEXPL26R1 10 -0.213508 0.988068
southeast SRCNNvEXPL26R1 10 -0.083504 0.826250
southwest SRCNNvEXPL26R1 10 -0.162636 0.972655
CONUS SRCNNvEXPL26R1 5 -0.126304 0.984653
midwest SRCNNvEXPL26R1 5 -0.067514 0.959048
northcentral SRCNNvEXPL26R1 5 -0.218340 0.952669
northeast SRCNNvEXPL26R1 5 -0.045086 0.782162
northwest SRCNNvEXPL26R1 5 -0.142000 0.975014
southcentral SRCNNvEXPL26R1 5 -0.173452 0.990021
southeast SRCNNvEXPL26R1 5 -0.075315 0.835145
southwest SRCNNvEXPL26R1 5 -0.085593 0.976205
CONUS SRCNNvEXPL26R1 2 -0.041398 0.981039
midwest SRCNNvEXPL26R1 2 0.056071 0.959852
northcentral SRCNNvEXPL26R1 2 -0.145433 0.930840
northeast SRCNNvEXPL26R1 2 0.080454 0.806053
northwest SRCNNvEXPL26R1 2 -0.057682 0.961752
southcentral SRCNNvEXPL26R1 2 -0.111098 0.989270
southeast SRCNNvEXPL26R1 2 0.034022 0.845204
southwest SRCNNvEXPL26R1 2 -0.047456 0.965040
CONUS SRCNNvQT29avgL4R1 30 0.220351 0.988436
midwest SRCNNvQT29avgL4R1 30 0.272620 0.956424
northcentral SRCNNvQT29avgL4R1 30 0.106518 0.965965
northeast SRCNNvQT29avgL4R1 30 0.370735 0.739773
northwest SRCNNvQT29avgL4R1 30 0.261372 0.985477
southcentral SRCNNvQT29avgL4R1 30 0.148880 0.988196
southeast SRCNNvQT29avgL4R1 30 0.457607 0.791629
southwest SRCNNvQT29avgL4R1 30 0.094574 0.987806
CONUS SRCNNvQT29avgL4R1 20 0.256547 0.990105
midwest SRCNNvQT29avgL4R1 20 0.285416 0.960914
northcentral SRCNNvQT29avgL4R1 20 0.186711 0.953406
northeast SRCNNvQT29avgL4R1 20 0.364367 0.813031
northwest SRCNNvQT29avgL4R1 20 0.335442 0.989005
southcentral SRCNNvQT29avgL4R1 20 0.172269 0.989864
southeast SRCNNvQT29avgL4R1 20 0.439587 0.824939
southwest SRCNNvQT29avgL4R1 20 0.150662 0.987755
CONUS SRCNNvQT29avgL4R1 15 0.258505 0.988083
midwest SRCNNvQT29avgL4R1 15 0.385963 0.952858
northcentral SRCNNvQT29avgL4R1 15 0.087854 0.965378
northeast SRCNNvQT29avgL4R1 15 0.512468 0.750915
northwest SRCNNvQT29avgL4R1 15 0.242442 0.986528
southcentral SRCNNvQT29avgL4R1 15 0.167464 0.988467
southeast SRCNNvQT29avgL4R1 15 0.559449 0.795400
southwest SRCNNvQT29avgL4R1 15 0.073695 0.986213
CONUS SRCNNvQT29avgL4R1 10 0.223840 0.986646
midwest SRCNNvQT29avgL4R1 10 0.339738 0.956888
northcentral SRCNNvQT29avgL4R1 10 0.080830 0.957972
northeast SRCNNvQT29avgL4R1 10 0.435295 0.755482
northwest SRCNNvQT29avgL4R1 10 0.203652 0.980076
southcentral SRCNNvQT29avgL4R1 10 0.147575 0.987698
southeast SRCNNvQT29avgL4R1 10 0.475795 0.806120
southwest SRCNNvQT29avgL4R1 10 0.064076 0.982908
CONUS SRCNNvQT29avgL4R1 5 0.320666 0.986888
midwest SRCNNvQT29avgL4R1 5 0.432718 0.958492
northcentral SRCNNvQT29avgL4R1 5 0.164935 0.966271
northeast SRCNNvQT29avgL4R1 5 0.577847 0.797457
northwest SRCNNvQT29avgL4R1 5 0.353122 0.975370
southcentral SRCNNvQT29avgL4R1 5 0.204438 0.989268
southeast SRCNNvQT29avgL4R1 5 0.601757 0.819611
southwest SRCNNvQT29avgL4R1 5 0.139341 0.984910
CONUS SRCNNvQT29avgL4R1 2 0.088807 0.982319
midwest SRCNNvQT29avgL4R1 2 0.221131 0.962431
northcentral SRCNNvQT29avgL4R1 2 -0.071973 0.933788
northeast SRCNNvQT29avgL4R1 2 0.306046 0.792533
northwest SRCNNvQT29avgL4R1 2 0.062629 0.957616
southcentral SRCNNvQT29avgL4R1 2 0.013044 0.988154
southeast SRCNNvQT29avgL4R1 2 0.296620 0.837573
southwest SRCNNvQT29avgL4R1 2 -0.025953 0.970515
CONUS SRCNNvQT7L4R1 30 0.103785 0.985772
midwest SRCNNvQT7L4R1 30 0.169529 0.966314
northcentral SRCNNvQT7L4R1 30 0.019857 0.968390
northeast SRCNNvQT7L4R1 30 0.305485 0.843997
northwest SRCNNvQT7L4R1 30 0.270611 0.987347
southcentral SRCNNvQT7L4R1 30 -0.048322 0.991644
southeast SRCNNvQT7L4R1 30 0.125199 0.832801
southwest SRCNNvQT7L4R1 30 0.064179 0.989021
CONUS SRCNNvQT7L4R1 20 0.121212 0.983290
midwest SRCNNvQT7L4R1 20 0.212272 0.966756
northcentral SRCNNvQT7L4R1 20 0.013840 0.969969
northeast SRCNNvQT7L4R1 20 0.360730 0.835707
northwest SRCNNvQT7L4R1 20 0.248199 0.988094
southcentral SRCNNvQT7L4R1 20 -0.032978 0.991423
southeast SRCNNvQT7L4R1 20 0.187647 0.838717
southwest SRCNNvQT7L4R1 20 0.055273 0.987803
CONUS SRCNNvQT7L4R1 15 0.136796 0.983770
midwest SRCNNvQT7L4R1 15 0.220952 0.963648
northcentral SRCNNvQT7L4R1 15 0.029026 0.968407
northeast SRCNNvQT7L4R1 15 0.367088 0.819297
northwest SRCNNvQT7L4R1 15 0.285796 0.985669
southcentral SRCNNvQT7L4R1 15 -0.021621 0.991344
southeast SRCNNvQT7L4R1 15 0.210216 0.841123
southwest SRCNNvQT7L4R1 15 0.070025 0.989109
CONUS SRCNNvQT7L4R1 10 -0.027173 0.986396
midwest SRCNNvQT7L4R1 10 0.055379 0.965738
northcentral SRCNNvQT7L4R1 10 -0.126080 0.972590
northeast SRCNNvQT7L4R1 10 0.165388 0.833228
northwest SRCNNvQT7L4R1 10 0.052466 0.982700
southcentral SRCNNvQT7L4R1 10 -0.137553 0.991222
southeast SRCNNvQT7L4R1 10 0.003249 0.848489
southwest SRCNNvQT7L4R1 10 -0.052805 0.986054
CONUS SRCNNvQT7L4R1 5 0.192284 0.985263
midwest SRCNNvQT7L4R1 5 0.304129 0.965179
northcentral SRCNNvQT7L4R1 5 0.044942 0.967677
northeast SRCNNvQT7L4R1 5 0.483999 0.842024
northwest SRCNNvQT7L4R1 5 0.311369 0.983152
southcentral SRCNNvQT7L4R1 5 0.026359 0.991348
southeast SRCNNvQT7L4R1 5 0.353708 0.839523
southwest SRCNNvQT7L4R1 5 0.070705 0.987713
CONUS SRCNNvQT7L4R1 2 0.125776 0.983542
midwest SRCNNvQT7L4R1 2 0.256445 0.968595
northcentral SRCNNvQT7L4R1 2 -0.043974 0.955579
northeast SRCNNvQT7L4R1 2 0.417080 0.841959
northwest SRCNNvQT7L4R1 2 0.186451 0.976183
southcentral SRCNNvQT7L4R1 2 -0.020712 0.990055
southeast SRCNNvQT7L4R1 2 0.289735 0.840388
southwest SRCNNvQT7L4R1 2 0.032481 0.973070
