Region Model Years 25mmdays_avg 25mmdays_pc
midwest SRCNNvEXPL26R1 10 -2.860436 0.917632
northcentral SRCNNvEXPL26R1 10 -1.432324 0.911254
northeast SRCNNvEXPL26R1 10 -3.059283 0.821017
northwest SRCNNvEXPL26R1 10 -1.315185 0.962890
southcentral SRCNNvEXPL26R1 10 -1.615638 0.977731
southeast SRCNNvEXPL26R1 10 -2.630879 0.856542
southwest SRCNNvEXPL26R1 10 -0.542121 0.977038
CONUS SRCNNvEXPL26R1 5 -1.706334 0.967846
midwest SRCNNvEXPL26R1 5 -2.752409 0.916940
northcentral SRCNNvEXPL26R1 5 -1.342588 0.914747
northeast SRCNNvEXPL26R1 5 -2.841347 0.823188
northwest SRCNNvEXPL26R1 5 -1.266976 0.963551
southcentral SRCNNvEXPL26R1 5 -1.469588 0.976510
southeast SRCNNvEXPL26R1 5 -2.290650 0.860683
southwest SRCNNvEXPL26R1 5 -0.428914 0.972165
CONUS SRCNNvEXPL26R1 2 -1.733829 0.962409
midwest SRCNNvEXPL26R1 2 -2.591985 0.923491
northcentral SRCNNvEXPL26R1 2 -1.301261 0.919896
northeast SRCNNvEXPL26R1 2 -2.847510 0.844662
northwest SRCNNvEXPL26R1 2 -1.408024 0.953043
southcentral SRCNNvEXPL26R1 2 -1.489999 0.981994
southeast SRCNNvEXPL26R1 2 -2.522311 0.860797
southwest SRCNNvEXPL26R1 2 -0.553625 0.965993
CONUS SRCNNvQT29avgL4R1 30 -1.427115 0.972426
midwest SRCNNvQT29avgL4R1 30 -2.604214 0.910302
northcentral SRCNNvQT29avgL4R1 30 -1.364116 0.926476
northeast SRCNNvQT29avgL4R1 30 -2.395745 0.780522
northwest SRCNNvQT29avgL4R1 30 -0.769903 0.977359
southcentral SRCNNvQT29avgL4R1 30 -1.123377 0.972797
southeast SRCNNvQT29avgL4R1 30 -1.243809 0.825332
southwest SRCNNvQT29avgL4R1 30 -0.473562 0.986274
CONUS SRCNNvQT29avgL4R1 20 -1.166916 0.974921
midwest SRCNNvQT29avgL4R1 20 -2.293761 0.921162
northcentral SRCNNvQT29avgL4R1 20 -1.181690 0.934849
northeast SRCNNvQT29avgL4R1 20 -1.944266 0.812400
northwest SRCNNvQT29avgL4R1 20 -0.358677 0.983222
southcentral SRCNNvQT29avgL4R1 20 -0.980232 0.976566
southeast SRCNNvQT29avgL4R1 20 -1.044794 0.850489
southwest SRCNNvQT29avgL4R1 20 -0.195810 0.984290
CONUS SRCNNvQT29avgL4R1 15 -1.176918 0.976731
midwest SRCNNvQT29avgL4R1 15 -2.122647 0.920972
northcentral SRCNNvQT29avgL4R1 15 -1.244602 0.929399
northeast SRCNNvQT29avgL4R1 15 -1.685671 0.791875
northwest SRCNNvQT29avgL4R1 15 -0.620703 0.979366
southcentral SRCNNvQT29avgL4R1 15 -1.061306 0.975356
southeast SRCNNvQT29avgL4R1 15 -0.903002 0.830951
southwest SRCNNvQT29avgL4R1 15 -0.395606 0.979479
CONUS SRCNNvQT29avgL4R1 10 -1.374475 0.974874
midwest SRCNNvQT29avgL4R1 10 -2.339694 0.921399
northcentral SRCNNvQT29avgL4R1 10 -1.263813 0.923209
northeast SRCNNvQT29avgL4R1 10 -2.147224 0.802056
northwest SRCNNvQT29avgL4R1 10 -0.786710 0.973578
southcentral SRCNNvQT29avgL4R1 10 -1.196489 0.978071
southeast SRCNNvQT29avgL4R1 10 -1.511585 0.851524
southwest SRCNNvQT29avgL4R1 10 -0.422921 0.978958
CONUS SRCNNvQT29avgL4R1 5 -0.760412 0.976787
midwest SRCNNvQT29avgL4R1 5 -1.517853 0.926868
northcentral SRCNNvQT29avgL4R1 5 -0.961447 0.936418
northeast SRCNNvQT29avgL4R1 5 -1.074547 0.828692
northwest SRCNNvQT29avgL4R1 5 -0.207519 0.968906
southcentral SRCNNvQT29avgL4R1 5 -0.747954 0.976658
southeast SRCNNvQT29avgL4R1 5 -0.284068 0.841174
southwest SRCNNvQT29avgL4R1 5 -0.165498 0.982325
CONUS SRCNNvQT29avgL4R1 2 -1.161824 0.970837
midwest SRCNNvQT29avgL4R1 2 -1.769587 0.925951
northcentral SRCNNvQT29avgL4R1 2 -1.172072 0.921041
northeast SRCNNvQT29avgL4R1 2 -1.763614 0.831612
northwest SRCNNvQT29avgL4R1 2 -0.837616 0.955348
southcentral SRCNNvQT29avgL4R1 2 -1.040178 0.981028
southeast SRCNNvQT29avgL4R1 2 -1.213164 0.851368
southwest SRCNNvQT29avgL4R1 2 -0.375098 0.974106
CONUS SRCNNvQT7L4R1 30 -0.778574 0.974553
midwest SRCNNvQT7L4R1 30 -1.506795 0.929642
northcentral SRCNNvQT7L4R1 30 -0.831915 0.940125
northeast SRCNNvQT7L4R1 30 -0.753406 0.847816
northwest SRCNNvQT7L4R1 30 0.104739 0.980169
southcentral SRCNNvQT7L4R1 30 -1.085462 0.981454
southeast SRCNNvQT7L4R1 30 -0.948906 0.883281
southwest SRCNNvQT7L4R1 30 -0.016851 0.983513
CONUS SRCNNvQT7L4R1 20 -0.468094 0.969696
midwest SRCNNvQT7L4R1 20 -0.975258 0.925183
